section	rule_name	pdf_truth	current_mai_tai	alignment	missing_in_mai_tai	extra_in_mai_tai_not_in_pdf	recommended_direction	user_decision	current_files
Scope	Start of comparison	Comparison starts only after scanner hands a symbol to the 30-second bot.	This review also starts only after scanner handoff into macd_30s.	Same			Keep scanner out of scope.		strategy_engine_app.py
Entry Hard Gates	EMA20 hard gate	Price must be above EMA20 before any entry path can trigger.	use_ema_gate is enabled and blocks entries when price is not above EMA20.	Same			Keep.		entry.py; trading_config.py
Entry Hard Gates	StochK entry cap	StochK must be below 90.	Implemented. The 30s entry hard-gate now blocks entries when StochK is at or above 90 before any path can trigger.	Aligned after change			Implemented to TV rule.	Change to TV Rule	entry.py; trading_config.py
Entry Hard Gates	EMA9 max distance	Price must be less than 8 percent above EMA9.	The 30s bot still has no dedicated EMA9 max-distance gate after the extra entry filters were removed.	Missing in Mai Tai	TV EMA9 less-than-8-percent hard gate is still not implemented.		Still pending separate decision.	Extra filters removed. Decide separately whether to add the TV EMA9 rule.	entry.py; trading_config.py
Entry Hard Gates	Trading hours	Pine allows 7:00 AM to 4:00 PM ET. Server independently checks 7:00 AM to 6:00 PM ET.	Current 30s config allows 7:00 AM to 8:00 PM ET.	Different	PDF session cutoffs are not matched.	Current bot trades later than the PDF truth.	Decide whether to match Pine and server hours exactly.		trading_config.py; entry.py
Entry Hard Gates	Dead zone	Dead zone is OFF by default but documented as 12:01 PM to 3:00 PM ET when enabled.	Default config effectively has no dead zone.	Mostly same if OFF, different if you want explicit TV toggle	No current 30s config matching the documented TV dead-zone window by default.		Decide whether dead zone should stay OFF or match TV settings exactly.		trading_config.py; entry.py
Entry Hard Gates	Cooldown after exit	5 bars after exit before re-entry.	cooldown_bars is 5 for the 30s variant.	Same			Keep.		trading_config.py; entry.py
Entry Hard Gates	Not already in position	Cannot buy if already holding the ticker.	Entry is blocked when the symbol already has an open position.	Same			Keep.		entry.py; position_tracker.py
Entry Hard Gates	Same-bar dedup	No duplicate BUY on the same bar.	Entry engine records the last buy bar and blocks same-bar duplicates.	Same			Keep.		entry.py
Server Hard Gates	Max concurrent positions	Maximum 3 open positions across all tickers.	Current config default is 10 positions.	Different	PDF max position limit is not matched.	Current bot permits more simultaneous positions than PDF truth.	Reduce to 3 if matching TV and server spec.		trading_config.py; position_tracker.py
Server Hard Gates	Daily loss limit	Stop trading below -$500 daily PnL.	Current config uses -$500 and blocks new positions when breached.	Same			Keep.		trading_config.py; position_tracker.py
Server Hard Gates	Server trading hours	Server checks 7:00 AM to 6:00 PM ET.	Current 30s path inherits 7:00 AM to 8:00 PM ET behavior.	Different	Independent 7 to 18 server-hours guard is not matched.	Current runtime allows later activity.	Decide whether to align to 6:00 PM ET.		trading_config.py; strategy_engine_app.py
